lang,vocabSize,rep,error,wordsPlaced,elapsedMs,boardRows,boardCols,boardCells,filledCells,letterCount,reviewWordPlaced
en,10,189,,2,0.1,5,6,30,10,8,true
en,10,190,,1,0.105,1,6,6,6,6,true
en,10,191,,1,0.076,1,8,8,8,8,true
en,10,192,,2,0.072,6,3,18,8,8,false
en,10,193,,1,0.106,1,8,8,8,8,true
en,10,194,,2,0.076,3,5,15,7,7,true
en,10,195,,1,0.087,1,6,6,6,6,false
en,10,196,,1,0.073,1,7,7,7,7,true
en,10,197,,2,0.133,4,5,20,8,8,false
en,10,198,,1,0.044,1,8,8,8,8,false
en,10,199,,2,0.085,6,3,18,8,8,true
en,100,0,,2,1.212,3,7,21,9,8,false
en,100,1,,2,1.094,3,3,9,5,4,false
en,100,2,,3,1.391,4,6,24,11,8,false
en,100,3,,2,0.996,4,8,32,11,8,true
en,100,4,,3,1.729,5,6,30,14,8,true
en,100,5,,3,1.021,4,5,20,11,8,false
en,100,6,,2,1.006,3,6,18,8,7,true
en,100,7,,1,1.162,1,8,8,8,8,false
en,100,8,,2,1.072,5,6,30,10,8,true
en,100,9,,2,1.657,4,7,28,10,8,true
en,100,10,,2,3.045,4,6,24,9,8,false
en,100,11,,4,3.364,4,7,28,12,8,true
en,100,12,,2,1.161,3,5,15,7,7,false
en,100,13,,1,1.508,1,8,8,8,8,true
en,100,14,,2,1.241,4,7,28,10,8,true
en,100,15,,2,1.068,4,6,24,9,7,false
